municipio;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos
Água Branca;2020-03-27;13;10234;0;0
Água Branca;2020-03-28;13;10234;0;0
Água Branca;2020-03-29;14;10234;0;0
Água Branca;2020-03-30;14;10234;0;0
Água Branca;2020-03-31;14;10234;0;0
Água Branca;2020-04-01;14;10234;0;0
Água Branca;2020-04-02;14;10234;0;0
Água Branca;2020-04-03;14;10234;0;0
Água Branca;2020-04-04;14;10234;0;0
Água Branca;2020-04-05;15;10234;0;0
Água Branca;2020-04-06;15;10234;0;0
Água Branca;2020-04-07;15;10234;0;0
Água Branca;2020-04-08;15;10234;0;0
Água Branca;2020-04-09;15;10234;0;0
Água Branca;2020-04-10;15;10234;0;0
Água Branca;2020-04-11;15;10234;0;0
Água Branca;2020-04-12;16;10234;0;0
Água Branca;2020-04-13;16;10234;0;0
Água Branca;2020-04-14;16;10234;0;0
Água Branca;2020-04-15;16;10234;0;0
Água Branca;2020-04-16;16;10234;0;0
Água Branca;2020-04-17;16;10234;0;0
Água Branca;2020-04-18;16;10234;0;0
Água Branca;2020-04-19;17;10234;0;0
Água Branca;2020-04-20;17;10234;0;0
Água Branca;2020-04-21;17;10234;0;0
Água Branca;2020-04-22;17;10234;0;0
Água Branca;2020-04-23;17;10234;0;0
Água Branca;2020-04-24;17;10234;0;0
Água Branca;2020-04-25;17;10234;0;0
Água Branca;2020-04-26;18;10234;0;0
Água Branca;2020-04-27;18;10234;0;0
Água Branca;2020-04-28;18;10234;0;0
Água Branca;2020-04-29;18;10234;0;0
Água Branca;2020-04-30;18;10234;0;0
Água Branca;2020-05-01;18;10234;0;0
Água Branca;2020-05-02;18;10234;0;0
Água Branca;2020-05-03;19;10234;0;0
Água Branca;2020-05-04;19;10234;0;0
Água Branca;2020-05-05;19;10234;0;0
Água Branca;2020-05-06;19;10234;0;0
Água Branca;2020-05-07;19;10234;0;0
Água Branca;2020-05-08;19;10234;0;0
Água Branca;2020-05-09;19;10234;0;0
Água Branca;2020-05-10;20;10234;0;0
Água Branca;2020-05-11;20;10234;0;0
Água Branca;2020-05-12;20;10234;0;0
Água Branca;2020-05-13;20;10234;0;0
Água Branca;2020-05-14;20;10234;0;0
Água Branca;2020-05-15;20;10234;0;0
Água Branca;2020-05-16;20;10234;0;0
Água Branca;2020-05-17;21;10234;0;0
